Width,Height,Eccentricity,Moore Length,Slopes,DirectionSum,Y
18,29,0.620690,80,0,12,8
18,29,0.620690,77,4,40,4
17,29,0.586207,113,3,25,3
5,29,0.172414,62,1,19,1
18,29,0.620690,79,0,12,8
18,29,0.620690,74,4,40,4
18,29,0.620690,114,4,28,3
5,29,0.172414,62,1,25,1
18,29,0.620690,81,0,12,8
18,29,0.620690,79,5,47,4
17,29,0.586207,113,3,25,3
6,29,0.206897,64,0,12,1
18,29,0.620690,76,5,47,8
18,29,0.620690,79,1,15,4
18,29,0.620690,115,4,28,3
6,29,0.206897,61,1,19,1
18,29,0.620690,81,0,12,8
17,29,0.586207,77,6,54,4
17,29,0.586207,112,3,25,3
5,29,0.172414,63,0,12,1
18,29,0.620690,80,0,12,8
18,29,0.620690,77,4,40,4
17,29,0.586207,113,3,25,3
5,29,0.172414,62,1,19,1
18,29,0.620690,79,0,12,8
18,29,0.620690,74,4,40,4
18,29,0.620690,114,4,28,3
5,29,0.172414,62,1,25,1
18,29,0.620690,81,0,12,8
18,29,0.620690,79,5,47,4
17,29,0.586207,113,3,25,3
6,29,0.206897,64,0,12,1
18,29,0.620690,82,0,12,8
18,29,0.620690,76,5,47,4
18,29,0.620690,111,3,25,3
5,29,0.172414,63,0,12,1
18,29,0.620690,82,0,12,8
18,29,0.620690,75,4,46,4
18,29,0.620690,115,3,25,3
5,29,0.172414,63,0,12,1
17,29,0.586207,79,0,12,8
18,29,0.620690,74,5,49,4
17,29,0.586207,110,3,25,3
5,29,0.172414,62,1,25,1
18,29,0.620690,79,0,12,8
17,29,0.586207,74,5,47,4
17,29,0.586207,113,3,25,3
6,29,0.206897,63,0,12,1
19,29,0.655172,82,0,12,8
18,29,0.620690,77,5,47,4
17,29,0.586207,112,3,25,3
5,29,0.172414,63,0,12,1
18,29,0.620690,81,0,12,8
18,29,0.620690,77,5,47,4
17,29,0.586207,98,4,22,9
17,29,0.586207,78,2,20,8
17,29,0.586207,108,5,39,2
17,29,0.586207,96,5,39,6
17,29,0.586207,100,3,21,9
18,29,0.620690,78,0,12,8
18,29,0.620690,112,4,40,2
18,29,0.620690,98,2,34,6
16,29,0.551724,97,2,18,9
18,29,0.620690,78,1,15,8
18,29,0.620690,112,4,40,2
18,29,0.620690,101,2,34,6
18,29,0.620690,104,0,12,9
18,29,0.620690,79,0,12,8
18,29,0.620690,114,4,44,2
18,29,0.620690,100,2,34,6
16,29,0.551724,94,4,26,9
17,29,0.586207,79,0,12,8
16,29,0.551724,105,4,40,2
18,29,0.620690,98,3,35,6
16,29,0.551724,94,4,26,9
17,29,0.586207,78,0,12,8
17,29,0.586207,108,4,40,2
18,29,0.620690,99,2,34,6
17,29,0.586207,98,3,21,9
17,29,0.586207,78,1,15,8
17,29,0.586207,111,4,40,2
19,29,0.655172,102,0,12,6
18,29,0.620690,100,2,18,9
18,29,0.620690,82,0,12,8
17,29,0.586207,111,4,40,2
18,29,0.620690,100,2,34,6
18,29,0.620690,102,1,15,9
17,29,0.586207,78,1,15,8
18,29,0.620690,110,4,40,2
18,29,0.620690,100,2,34,6
18,29,0.620690,100,1,15,9
18,29,0.620690,79,0,12,8
18,29,0.620690,112,4,40,2
18,29,0.620690,100,2,34,6
16,29,0.551724,99,3,21,9
16,29,0.551724,78,0,12,8
16,29,0.551724,100,0,12,9
16,29,0.551724,79,1,23,8
16,29,0.551724,100,0,12,9
16,29,0.551724,77,2,20,8
17,29,0.586207,103,0,12,9
18,29,0.620690,82,1,23,8
18,29,0.620690,77,1,15,0
18,29,0.620690,76,4,48,4
17,29,0.586207,95,3,37,6
17,29,0.586207,122,6,46,5
19,29,0.655172,80,0,12,0
17,29,0.586207,94,3,37,6
16,28,0.571429,110,6,50,5
18,29,0.620690,76,1,15,0
17,29,0.586207,94,3,37,6
18,28,0.642857,115,6,50,5
18,29,0.620690,77,1,15,0
18,29,0.620690,78,5,49,4
17,29,0.586207,95,3,37,6
16,29,0.551724,109,6,50,5
18,29,0.620690,76,1,15,0
18,29,0.620690,79,5,51,4
18,29,0.620690,96,3,37,6
16,29,0.551724,109,7,51,5
19,28,0.678571,79,0,12,0
17,29,0.586207,94,3,37,6
18,28,0.642857,114,6,50,5
18,29,0.620690,78,0,12,0
18,29,0.620690,76,5,51,4
16,29,0.551724,91,3,37,6
16,29,0.551724,107,7,53,5
18,29,0.620690,78,0,12,0
18,29,0.620690,76,5,51,4
16,29,0.551724,91,4,42,6
17,29,0.586207,119,5,47,5
18,29,0.620690,76,1,15,0
18,29,0.620690,76,5,51,4
18,29,0.620690,95,3,37,6
16,29,0.551724,108,7,53,5
18,29,0.620690,76,1,15,0
18,29,0.620690,80,5,49,4
17,29,0.586207,95,3,37,6
16,29,0.551724,109,6,50,5
18,29,0.620690,77,0,12,0
18,29,0.620690,74,4,48,4
19,29,0.655172,101,0,12,6
17,29,0.586207,115,5,45,5
18,29,0.620690,77,0,12,0
18,29,0.620690,74,5,51,4
19,29,0.655172,101,0,12,6
17,29,0.586207,116,5,45,5
18,29,0.620690,76,1,15,0
18,29,0.620690,77,5,51,4
18,29,0.620690,94,3,37,6
16,29,0.551724,110,7,51,5
